_step,mean_eps_reward,run_name,seed,agent,opponent,total-steps,normalize_obs,num-parallel-envs
1957,-17.544,divine-sweep-1,6,sac,strong,200000,True,8
1986,-17.838,divine-sweep-1,6,sac,strong,200000,True,8
1992,-17.838,divine-sweep-1,6,sac,strong,200000,True,8
2015,-17.974,divine-sweep-1,6,sac,strong,200000,True,8
2029,-17.974,divine-sweep-1,6,sac,strong,200000,True,8
2035,-17.963,divine-sweep-1,6,sac,strong,200000,True,8
2050,-18.053,divine-sweep-1,6,sac,strong,200000,True,8
2069,-18.053,divine-sweep-1,6,sac,strong,200000,True,8
2099,-18.04,divine-sweep-1,6,sac,strong,200000,True,8
2106,-18.04,divine-sweep-1,6,sac,strong,200000,True,8
2144,-17.971,divine-sweep-1,6,sac,strong,200000,True,8
2153,-17.971,divine-sweep-1,6,sac,strong,200000,True,8
2165,-17.971,divine-sweep-1,6,sac,strong,200000,True,8
2172,-17.971,divine-sweep-1,6,sac,strong,200000,True,8
2185,-18.142,divine-sweep-1,6,sac,strong,200000,True,8
2188,-18.041,divine-sweep-1,6,sac,strong,200000,True,8
2190,-18.041,divine-sweep-1,6,sac,strong,200000,True,8
2202,-18.27,divine-sweep-1,6,sac,strong,200000,True,8
2204,-18.27,divine-sweep-1,6,sac,strong,200000,True,8
2214,-18.27,divine-sweep-1,6,sac,strong,200000,True,8
2248,-18.13,divine-sweep-1,6,sac,strong,200000,True,8
2264,-18.13,divine-sweep-1,6,sac,strong,200000,True,8
2273,-18.13,divine-sweep-1,6,sac,strong,200000,True,8
2284,-18.206,divine-sweep-1,6,sac,strong,200000,True,8
2296,-18.408,divine-sweep-1,6,sac,strong,200000,True,8
2303,-18.408,divine-sweep-1,6,sac,strong,200000,True,8
2329,-18.386,divine-sweep-1,6,sac,strong,200000,True,8
2353,-18.545,divine-sweep-1,6,sac,strong,200000,True,8
2379,-18.578,divine-sweep-1,6,sac,strong,200000,True,8
2420,-18.515,divine-sweep-1,6,sac,strong,200000,True,8
2423,-18.515,divine-sweep-1,6,sac,strong,200000,True,8
2429,-18.515,divine-sweep-1,6,sac,strong,200000,True,8
2430,-18.515,divine-sweep-1,6,sac,strong,200000,True,8
2460,-18.421,divine-sweep-1,6,sac,strong,200000,True,8
2534,-18.509,divine-sweep-1,6,sac,strong,200000,True,8
2543,-18.509,divine-sweep-1,6,sac,strong,200000,True,8
2550,-18.509,divine-sweep-1,6,sac,strong,200000,True,8
2564,-18.469,divine-sweep-1,6,sac,strong,200000,True,8
2574,-18.469,divine-sweep-1,6,sac,strong,200000,True,8
2591,-18.463,divine-sweep-1,6,sac,strong,200000,True,8
2625,-18.34,divine-sweep-1,6,sac,strong,200000,True,8
2663,-18.469,divine-sweep-1,6,sac,strong,200000,True,8
2673,-18.435,divine-sweep-1,6,sac,strong,200000,True,8
2708,-18.424,divine-sweep-1,6,sac,strong,200000,True,8
2733,-18.424,divine-sweep-1,6,sac,strong,200000,True,8
2753,-18.424,divine-sweep-1,6,sac,strong,200000,True,8
2816,-18.38,divine-sweep-1,6,sac,strong,200000,True,8
2822,-18.38,divine-sweep-1,6,sac,strong,200000,True,8
2834,-18.408,divine-sweep-1,6,sac,strong,200000,True,8
2837,-18.408,divine-sweep-1,6,sac,strong,200000,True,8
2864,-18.408,divine-sweep-1,6,sac,strong,200000,True,8
2875,-18.335,divine-sweep-1,6,sac,strong,200000,True,8
2903,-18.084,divine-sweep-1,6,sac,strong,200000,True,8
2912,-18.084,divine-sweep-1,6,sac,strong,200000,True,8
2959,-18.106,divine-sweep-1,6,sac,strong,200000,True,8
2976,-18.106,divine-sweep-1,6,sac,strong,200000,True,8
2978,-18.106,divine-sweep-1,6,sac,strong,200000,True,8
2993,-18.106,divine-sweep-1,6,sac,strong,200000,True,8
3004,-18.106,divine-sweep-1,6,sac,strong,200000,True,8
3030,-18.199,divine-sweep-1,6,sac,strong,200000,True,8
3069,-18.269,divine-sweep-1,6,sac,strong,200000,True,8
3074,-18.269,divine-sweep-1,6,sac,strong,200000,True,8
3092,-18.148,divine-sweep-1,6,sac,strong,200000,True,8
3097,-18.148,divine-sweep-1,6,sac,strong,200000,True,8
3118,-17.973,divine-sweep-1,6,sac,strong,200000,True,8
3122,-17.973,divine-sweep-1,6,sac,strong,200000,True,8
3125,-17.973,divine-sweep-1,6,sac,strong,200000,True,8
3164,-17.992,divine-sweep-1,6,sac,strong,200000,True,8
3168,-17.992,divine-sweep-1,6,sac,strong,200000,True,8
3215,-17.886,divine-sweep-1,6,sac,strong,200000,True,8
3216,-17.886,divine-sweep-1,6,sac,strong,200000,True,8
3274,-17.852,divine-sweep-1,6,sac,strong,200000,True,8
3275,-17.852,divine-sweep-1,6,sac,strong,200000,True,8
3307,-17.821,divine-sweep-1,6,sac,strong,200000,True,8
3317,-17.932,divine-sweep-1,6,sac,strong,200000,True,8
3336,-17.932,divine-sweep-1,6,sac,strong,200000,True,8
3342,-17.932,divine-sweep-1,6,sac,strong,200000,True,8
3357,-17.889,divine-sweep-1,6,sac,strong,200000,True,8
3373,-17.889,divine-sweep-1,6,sac,strong,200000,True,8
3418,-17.85,divine-sweep-1,6,sac,strong,200000,True,8
3445,-17.735,divine-sweep-1,6,sac,strong,200000,True,8
3495,-17.308,divine-sweep-1,6,sac,strong,200000,True,8
3507,-17.308,divine-sweep-1,6,sac,strong,200000,True,8
3529,-17.426,divine-sweep-1,6,sac,strong,200000,True,8
3558,-17.386,divine-sweep-1,6,sac,strong,200000,True,8
3564,-17.369,divine-sweep-1,6,sac,strong,200000,True,8
3596,-17.175,divine-sweep-1,6,sac,strong,200000,True,8
3600,-17.175,divine-sweep-1,6,sac,strong,200000,True,8
3603,-17.175,divine-sweep-1,6,sac,strong,200000,True,8
3609,-17.175,divine-sweep-1,6,sac,strong,200000,True,8
3611,-17.175,divine-sweep-1,6,sac,strong,200000,True,8
3657,-17.289,divine-sweep-1,6,sac,strong,200000,True,8
3674,-17.289,divine-sweep-1,6,sac,strong,200000,True,8
3741,-17.289,divine-sweep-1,6,sac,strong,200000,True,8
3750,-17.289,divine-sweep-1,6,sac,strong,200000,True,8
3759,-17.256,divine-sweep-1,6,sac,strong,200000,True,8
3795,-17.256,divine-sweep-1,6,sac,strong,200000,True,8
3804,-17.37,divine-sweep-1,6,sac,strong,200000,True,8
3819,-17.37,divine-sweep-1,6,sac,strong,200000,True,8
3837,-17.37,divine-sweep-1,6,sac,strong,200000,True,8
3858,-17.389,divine-sweep-1,6,sac,strong,200000,True,8
3872,-17.389,divine-sweep-1,6,sac,strong,200000,True,8
3879,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
3888,-17.299,divine-sweep-1,6,sac,strong,200000,True,8
3893,-17.299,divine-sweep-1,6,sac,strong,200000,True,8
3911,-17.302,divine-sweep-1,6,sac,strong,200000,True,8
3922,-17.302,divine-sweep-1,6,sac,strong,200000,True,8
3975,-17.365,divine-sweep-1,6,sac,strong,200000,True,8
3994,-17.301,divine-sweep-1,6,sac,strong,200000,True,8
4010,-17.249,divine-sweep-1,6,sac,strong,200000,True,8
4013,-17.249,divine-sweep-1,6,sac,strong,200000,True,8
4017,-17.249,divine-sweep-1,6,sac,strong,200000,True,8
4033,-17.249,divine-sweep-1,6,sac,strong,200000,True,8
4055,-17.249,divine-sweep-1,6,sac,strong,200000,True,8
4102,-17.29,divine-sweep-1,6,sac,strong,200000,True,8
4115,-17.29,divine-sweep-1,6,sac,strong,200000,True,8
4132,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
4149,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
4163,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
4164,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
4176,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
4185,-17.333,divine-sweep-1,6,sac,strong,200000,True,8
4214,-17.319,divine-sweep-1,6,sac,strong,200000,True,8
