_step,mean_eps_reward,run_name,seed,agent,opponent,total-steps,normalize_obs,num-parallel-envs
1898,-18.465,drawn-sweep-2,10,sac,weak,200000,True,8
1934,-18.583,drawn-sweep-2,10,sac,weak,200000,True,8
1945,-18.666,drawn-sweep-2,10,sac,weak,200000,True,8
1957,-18.584,drawn-sweep-2,10,sac,weak,200000,True,8
1986,-18.226,drawn-sweep-2,10,sac,weak,200000,True,8
1992,-18.15,drawn-sweep-2,10,sac,weak,200000,True,8
2015,-18.126,drawn-sweep-2,10,sac,weak,200000,True,8
2029,-18.084,drawn-sweep-2,10,sac,weak,200000,True,8
2035,-18.084,drawn-sweep-2,10,sac,weak,200000,True,8
2050,-18.018,drawn-sweep-2,10,sac,weak,200000,True,8
2069,-17.876,drawn-sweep-2,10,sac,weak,200000,True,8
2099,-17.876,drawn-sweep-2,10,sac,weak,200000,True,8
2106,-17.95,drawn-sweep-2,10,sac,weak,200000,True,8
2144,-17.886,drawn-sweep-2,10,sac,weak,200000,True,8
2153,-17.886,drawn-sweep-2,10,sac,weak,200000,True,8
2165,-17.886,drawn-sweep-2,10,sac,weak,200000,True,8
2172,-17.886,drawn-sweep-2,10,sac,weak,200000,True,8
2185,-17.886,drawn-sweep-2,10,sac,weak,200000,True,8
2188,-17.886,drawn-sweep-2,10,sac,weak,200000,True,8
2190,-17.972,drawn-sweep-2,10,sac,weak,200000,True,8
2202,-17.908,drawn-sweep-2,10,sac,weak,200000,True,8
2204,-17.908,drawn-sweep-2,10,sac,weak,200000,True,8
2214,-18.066,drawn-sweep-2,10,sac,weak,200000,True,8
2248,-18.066,drawn-sweep-2,10,sac,weak,200000,True,8
2264,-17.998,drawn-sweep-2,10,sac,weak,200000,True,8
2273,-17.947,drawn-sweep-2,10,sac,weak,200000,True,8
2284,-17.947,drawn-sweep-2,10,sac,weak,200000,True,8
2296,-17.947,drawn-sweep-2,10,sac,weak,200000,True,8
2303,-18.019,drawn-sweep-2,10,sac,weak,200000,True,8
2329,-18.064,drawn-sweep-2,10,sac,weak,200000,True,8
2353,-18.068,drawn-sweep-2,10,sac,weak,200000,True,8
2379,-18.192,drawn-sweep-2,10,sac,weak,200000,True,8
2420,-18.192,drawn-sweep-2,10,sac,weak,200000,True,8
2423,-18.192,drawn-sweep-2,10,sac,weak,200000,True,8
2429,-18.131,drawn-sweep-2,10,sac,weak,200000,True,8
2430,-18.131,drawn-sweep-2,10,sac,weak,200000,True,8
2460,-18.239,drawn-sweep-2,10,sac,weak,200000,True,8
2534,-18.526,drawn-sweep-2,10,sac,weak,200000,True,8
2543,-18.517,drawn-sweep-2,10,sac,weak,200000,True,8
2550,-18.517,drawn-sweep-2,10,sac,weak,200000,True,8
2564,-18.345,drawn-sweep-2,10,sac,weak,200000,True,8
2574,-18.122,drawn-sweep-2,10,sac,weak,200000,True,8
2591,-18.044,drawn-sweep-2,10,sac,weak,200000,True,8
2625,-17.997,drawn-sweep-2,10,sac,weak,200000,True,8
2663,-17.947,drawn-sweep-2,10,sac,weak,200000,True,8
2673,-17.947,drawn-sweep-2,10,sac,weak,200000,True,8
2708,-17.866,drawn-sweep-2,10,sac,weak,200000,True,8
2733,-17.866,drawn-sweep-2,10,sac,weak,200000,True,8
2753,-17.813,drawn-sweep-2,10,sac,weak,200000,True,8
2816,-17.813,drawn-sweep-2,10,sac,weak,200000,True,8
2822,-17.906,drawn-sweep-2,10,sac,weak,200000,True,8
2834,-17.817,drawn-sweep-2,10,sac,weak,200000,True,8
2837,-17.817,drawn-sweep-2,10,sac,weak,200000,True,8
2864,-17.878,drawn-sweep-2,10,sac,weak,200000,True,8
2875,-17.878,drawn-sweep-2,10,sac,weak,200000,True,8
2903,-17.748,drawn-sweep-2,10,sac,weak,200000,True,8
2912,-17.704,drawn-sweep-2,10,sac,weak,200000,True,8
2959,-17.73,drawn-sweep-2,10,sac,weak,200000,True,8
2976,-17.73,drawn-sweep-2,10,sac,weak,200000,True,8
2978,-17.73,drawn-sweep-2,10,sac,weak,200000,True,8
2993,-17.485,drawn-sweep-2,10,sac,weak,200000,True,8
3004,-17.47,drawn-sweep-2,10,sac,weak,200000,True,8
3030,-17.427,drawn-sweep-2,10,sac,weak,200000,True,8
3069,-17.341,drawn-sweep-2,10,sac,weak,200000,True,8
3074,-17.341,drawn-sweep-2,10,sac,weak,200000,True,8
3092,-17.341,drawn-sweep-2,10,sac,weak,200000,True,8
3097,-17.341,drawn-sweep-2,10,sac,weak,200000,True,8
3118,-17.38,drawn-sweep-2,10,sac,weak,200000,True,8
3122,-17.38,drawn-sweep-2,10,sac,weak,200000,True,8
3125,-17.38,drawn-sweep-2,10,sac,weak,200000,True,8
3164,-17.558,drawn-sweep-2,10,sac,weak,200000,True,8
3168,-17.558,drawn-sweep-2,10,sac,weak,200000,True,8
3215,-17.515,drawn-sweep-2,10,sac,weak,200000,True,8
3216,-17.515,drawn-sweep-2,10,sac,weak,200000,True,8
3274,-17.28,drawn-sweep-2,10,sac,weak,200000,True,8
3275,-17.28,drawn-sweep-2,10,sac,weak,200000,True,8
3307,-17.233,drawn-sweep-2,10,sac,weak,200000,True,8
3317,-17.233,drawn-sweep-2,10,sac,weak,200000,True,8
3336,-17.233,drawn-sweep-2,10,sac,weak,200000,True,8
3342,-17.241,drawn-sweep-2,10,sac,weak,200000,True,8
3357,-17.241,drawn-sweep-2,10,sac,weak,200000,True,8
3373,-17.241,drawn-sweep-2,10,sac,weak,200000,True,8
3418,-17.241,drawn-sweep-2,10,sac,weak,200000,True,8
3445,-17.251,drawn-sweep-2,10,sac,weak,200000,True,8
3495,-17.251,drawn-sweep-2,10,sac,weak,200000,True,8
3507,-17.288,drawn-sweep-2,10,sac,weak,200000,True,8
3529,-17.288,drawn-sweep-2,10,sac,weak,200000,True,8
3558,-17.373,drawn-sweep-2,10,sac,weak,200000,True,8
3564,-17.373,drawn-sweep-2,10,sac,weak,200000,True,8
3596,-17.45,drawn-sweep-2,10,sac,weak,200000,True,8
3600,-17.45,drawn-sweep-2,10,sac,weak,200000,True,8
3603,-17.45,drawn-sweep-2,10,sac,weak,200000,True,8
3609,-17.416,drawn-sweep-2,10,sac,weak,200000,True,8
3611,-17.416,drawn-sweep-2,10,sac,weak,200000,True,8
3657,-17.345,drawn-sweep-2,10,sac,weak,200000,True,8
3674,-17.206,drawn-sweep-2,10,sac,weak,200000,True,8
3741,-17.239,drawn-sweep-2,10,sac,weak,200000,True,8
3750,-17.239,drawn-sweep-2,10,sac,weak,200000,True,8
3759,-17.186,drawn-sweep-2,10,sac,weak,200000,True,8
3795,-17.118,drawn-sweep-2,10,sac,weak,200000,True,8
3804,-17.306,drawn-sweep-2,10,sac,weak,200000,True,8
3819,-17.306,drawn-sweep-2,10,sac,weak,200000,True,8
3837,-17.306,drawn-sweep-2,10,sac,weak,200000,True,8
3858,-17.433,drawn-sweep-2,10,sac,weak,200000,True,8
3872,-17.433,drawn-sweep-2,10,sac,weak,200000,True,8
3879,-17.433,drawn-sweep-2,10,sac,weak,200000,True,8
3888,-17.433,drawn-sweep-2,10,sac,weak,200000,True,8
3893,-17.433,drawn-sweep-2,10,sac,weak,200000,True,8
3911,-17.432,drawn-sweep-2,10,sac,weak,200000,True,8
3922,-17.398,drawn-sweep-2,10,sac,weak,200000,True,8
3975,-17.398,drawn-sweep-2,10,sac,weak,200000,True,8
3994,-17.367,drawn-sweep-2,10,sac,weak,200000,True,8
4010,-17.45,drawn-sweep-2,10,sac,weak,200000,True,8
4013,-17.45,drawn-sweep-2,10,sac,weak,200000,True,8
4017,-17.45,drawn-sweep-2,10,sac,weak,200000,True,8
4033,-17.585,drawn-sweep-2,10,sac,weak,200000,True,8
4055,-17.484,drawn-sweep-2,10,sac,weak,200000,True,8
4102,-17.32,drawn-sweep-2,10,sac,weak,200000,True,8
4115,-17.32,drawn-sweep-2,10,sac,weak,200000,True,8
4132,-17.32,drawn-sweep-2,10,sac,weak,200000,True,8
4149,-17.32,drawn-sweep-2,10,sac,weak,200000,True,8
4163,-17.338,drawn-sweep-2,10,sac,weak,200000,True,8
4164,-17.338,drawn-sweep-2,10,sac,weak,200000,True,8
4176,-17.415,drawn-sweep-2,10,sac,weak,200000,True,8
4185,-17.384,drawn-sweep-2,10,sac,weak,200000,True,8
4214,-17.378,drawn-sweep-2,10,sac,weak,200000,True,8
4282,-17.38,drawn-sweep-2,10,sac,weak,200000,True,8
4322,-17.514,drawn-sweep-2,10,sac,weak,200000,True,8
4338,-17.485,drawn-sweep-2,10,sac,weak,200000,True,8
4350,-17.435,drawn-sweep-2,10,sac,weak,200000,True,8
4370,-17.382,drawn-sweep-2,10,sac,weak,200000,True,8
4403,-17.336,drawn-sweep-2,10,sac,weak,200000,True,8
4421,-17.249,drawn-sweep-2,10,sac,weak,200000,True,8
4425,-17.249,drawn-sweep-2,10,sac,weak,200000,True,8
4426,-17.249,drawn-sweep-2,10,sac,weak,200000,True,8
4448,-17.26,drawn-sweep-2,10,sac,weak,200000,True,8
4454,-17.26,drawn-sweep-2,10,sac,weak,200000,True,8
4482,-17.104,drawn-sweep-2,10,sac,weak,200000,True,8
4488,-17.104,drawn-sweep-2,10,sac,weak,200000,True,8
4490,-17.104,drawn-sweep-2,10,sac,weak,200000,True,8
4506,-17.104,drawn-sweep-2,10,sac,weak,200000,True,8
4527,-17.132,drawn-sweep-2,10,sac,weak,200000,True,8
4528,-17.132,drawn-sweep-2,10,sac,weak,200000,True,8
4580,-17.095,drawn-sweep-2,10,sac,weak,200000,True,8
4610,-17.041,drawn-sweep-2,10,sac,weak,200000,True,8
4632,-17.149,drawn-sweep-2,10,sac,weak,200000,True,8
4649,-17.149,drawn-sweep-2,10,sac,weak,200000,True,8
4651,-17.149,drawn-sweep-2,10,sac,weak,200000,True,8
4652,-17.125,drawn-sweep-2,10,sac,weak,200000,True,8
4660,-17.125,drawn-sweep-2,10,sac,weak,200000,True,8
4667,-17.148,drawn-sweep-2,10,sac,weak,200000,True,8
4673,-17.127,drawn-sweep-2,10,sac,weak,200000,True,8
4736,-17.197,drawn-sweep-2,10,sac,weak,200000,True,8
4775,-17.122,drawn-sweep-2,10,sac,weak,200000,True,8
4800,-17.133,drawn-sweep-2,10,sac,weak,200000,True,8
4891,-17.214,drawn-sweep-2,10,sac,weak,200000,True,8
4936,-17.19,drawn-sweep-2,10,sac,weak,200000,True,8
4980,-17.12,drawn-sweep-2,10,sac,weak,200000,True,8
5005,-17.151,drawn-sweep-2,10,sac,weak,200000,True,8
5020,-17.118,drawn-sweep-2,10,sac,weak,200000,True,8
5036,-17.118,drawn-sweep-2,10,sac,weak,200000,True,8
5039,-17.118,drawn-sweep-2,10,sac,weak,200000,True,8
5042,-17.118,drawn-sweep-2,10,sac,weak,200000,True,8
5057,-17.093,drawn-sweep-2,10,sac,weak,200000,True,8
5066,-17.093,drawn-sweep-2,10,sac,weak,200000,True,8
5077,-17.093,drawn-sweep-2,10,sac,weak,200000,True,8
5141,-17.039,drawn-sweep-2,10,sac,weak,200000,True,8
5165,-17.02,drawn-sweep-2,10,sac,weak,200000,True,8
5169,-17.02,drawn-sweep-2,10,sac,weak,200000,True,8
5219,-17.085,drawn-sweep-2,10,sac,weak,200000,True,8
5241,-17.085,drawn-sweep-2,10,sac,weak,200000,True,8
5249,-17.085,drawn-sweep-2,10,sac,weak,200000,True,8
5267,-17.085,drawn-sweep-2,10,sac,weak,200000,True,8
5295,-17.168,drawn-sweep-2,10,sac,weak,200000,True,8
5314,-17.19,drawn-sweep-2,10,sac,weak,200000,True,8
5328,-17.167,drawn-sweep-2,10,sac,weak,200000,True,8
