_step,mean_eps_reward,run_name,seed,agent,opponent,selfplay,backup-freq,total-steps,normalize_obs,quantile_critic,num-parallel-envs
41163.0,-12.446,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
41923.0,-12.389,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
49528.0,-11.59,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
51678.0,-11.306,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
54471.0,-11.001,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
60785.0,-10.445,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
64698.0,-10.108,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
65487.0,-10.039,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
65633.0,-10.022,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
68798.0,-9.735,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
74201.0,-9.367,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
74297.0,-9.368,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
75211.0,-9.306,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
76635.0,-9.197,cosmic-sweep-1,10,sac,strong weak crossplay.mixed7030_baseline@sac crossplay.mixed_baseline@sac crossplay.strong_baseline@sac crossplay.weak_baseline@sac crossplay@mbpo_sac crossplay.selfplay3m@sac sac_1@sac_test sac_2@sac_test test@td3_simon selfplay5m@sac selfplay4m@sac selfplay2m@sac,True,-1,20000000,True,True,8
