_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,num-parallel-envs
2188,-17.688,vibrant-sweep-1,3,sac,weak,True,250000,8
2190,-17.626,vibrant-sweep-1,3,sac,weak,True,250000,8
2264,-17.519,vibrant-sweep-1,3,sac,weak,True,250000,8
2284,-17.493,vibrant-sweep-1,3,sac,weak,True,250000,8
2296,-17.599,vibrant-sweep-1,3,sac,weak,True,250000,8
2303,-17.541,vibrant-sweep-1,3,sac,weak,True,250000,8
2329,-17.574,vibrant-sweep-1,3,sac,weak,True,250000,8
2353,-17.697,vibrant-sweep-1,3,sac,weak,True,250000,8
2379,-17.641,vibrant-sweep-1,3,sac,weak,True,250000,8
2420,-17.47,vibrant-sweep-1,3,sac,weak,True,250000,8
2423,-17.517,vibrant-sweep-1,3,sac,weak,True,250000,8
2429,-17.517,vibrant-sweep-1,3,sac,weak,True,250000,8
2460,-17.702,vibrant-sweep-1,3,sac,weak,True,250000,8
2534,-17.517,vibrant-sweep-1,3,sac,weak,True,250000,8
2543,-17.517,vibrant-sweep-1,3,sac,weak,True,250000,8
2550,-17.517,vibrant-sweep-1,3,sac,weak,True,250000,8
2564,-17.57,vibrant-sweep-1,3,sac,weak,True,250000,8
2591,-17.57,vibrant-sweep-1,3,sac,weak,True,250000,8
2625,-17.49,vibrant-sweep-1,3,sac,weak,True,250000,8
2663,-17.49,vibrant-sweep-1,3,sac,weak,True,250000,8
2673,-17.49,vibrant-sweep-1,3,sac,weak,True,250000,8
2708,-17.645,vibrant-sweep-1,3,sac,weak,True,250000,8
2733,-17.594,vibrant-sweep-1,3,sac,weak,True,250000,8
2753,-17.884,vibrant-sweep-1,3,sac,weak,True,250000,8
2816,-17.738,vibrant-sweep-1,3,sac,weak,True,250000,8
2822,-17.738,vibrant-sweep-1,3,sac,weak,True,250000,8
2875,-17.572,vibrant-sweep-1,3,sac,weak,True,250000,8
2912,-17.553,vibrant-sweep-1,3,sac,weak,True,250000,8
2959,-17.51,vibrant-sweep-1,3,sac,weak,True,250000,8
2976,-17.51,vibrant-sweep-1,3,sac,weak,True,250000,8
3004,-17.641,vibrant-sweep-1,3,sac,weak,True,250000,8
3030,-17.85,vibrant-sweep-1,3,sac,weak,True,250000,8
3069,-17.871,vibrant-sweep-1,3,sac,weak,True,250000,8
3074,-17.871,vibrant-sweep-1,3,sac,weak,True,250000,8
3092,-17.828,vibrant-sweep-1,3,sac,weak,True,250000,8
3097,-17.912,vibrant-sweep-1,3,sac,weak,True,250000,8
3118,-18.0,vibrant-sweep-1,3,sac,weak,True,250000,8
3125,-18.075,vibrant-sweep-1,3,sac,weak,True,250000,8
3164,-17.869,vibrant-sweep-1,3,sac,weak,True,250000,8
3168,-17.869,vibrant-sweep-1,3,sac,weak,True,250000,8
3216,-17.924,vibrant-sweep-1,3,sac,weak,True,250000,8
3274,-17.735,vibrant-sweep-1,3,sac,weak,True,250000,8
3275,-17.735,vibrant-sweep-1,3,sac,weak,True,250000,8
3307,-17.735,vibrant-sweep-1,3,sac,weak,True,250000,8
3317,-17.583,vibrant-sweep-1,3,sac,weak,True,250000,8
3336,-17.668,vibrant-sweep-1,3,sac,weak,True,250000,8
3342,-17.668,vibrant-sweep-1,3,sac,weak,True,250000,8
3373,-17.605,vibrant-sweep-1,3,sac,weak,True,250000,8
3418,-17.636,vibrant-sweep-1,3,sac,weak,True,250000,8
3445,-17.485,vibrant-sweep-1,3,sac,weak,True,250000,8
3495,-17.507,vibrant-sweep-1,3,sac,weak,True,250000,8
3507,-17.471,vibrant-sweep-1,3,sac,weak,True,250000,8
3529,-17.436,vibrant-sweep-1,3,sac,weak,True,250000,8
3564,-17.491,vibrant-sweep-1,3,sac,weak,True,250000,8
3596,-17.297,vibrant-sweep-1,3,sac,weak,True,250000,8
3603,-17.297,vibrant-sweep-1,3,sac,weak,True,250000,8
3609,-17.297,vibrant-sweep-1,3,sac,weak,True,250000,8
3611,-17.297,vibrant-sweep-1,3,sac,weak,True,250000,8
3657,-17.299,vibrant-sweep-1,3,sac,weak,True,250000,8
3674,-17.299,vibrant-sweep-1,3,sac,weak,True,250000,8
3741,-17.127,vibrant-sweep-1,3,sac,weak,True,250000,8
3750,-17.127,vibrant-sweep-1,3,sac,weak,True,250000,8
3759,-17.097,vibrant-sweep-1,3,sac,weak,True,250000,8
3795,-17.205,vibrant-sweep-1,3,sac,weak,True,250000,8
3804,-17.205,vibrant-sweep-1,3,sac,weak,True,250000,8
3819,-17.205,vibrant-sweep-1,3,sac,weak,True,250000,8
3837,-17.266,vibrant-sweep-1,3,sac,weak,True,250000,8
3858,-17.229,vibrant-sweep-1,3,sac,weak,True,250000,8
3872,-17.229,vibrant-sweep-1,3,sac,weak,True,250000,8
3879,-17.229,vibrant-sweep-1,3,sac,weak,True,250000,8
3888,-17.198,vibrant-sweep-1,3,sac,weak,True,250000,8
3893,-17.198,vibrant-sweep-1,3,sac,weak,True,250000,8
3922,-17.184,vibrant-sweep-1,3,sac,weak,True,250000,8
3994,-17.325,vibrant-sweep-1,3,sac,weak,True,250000,8
4010,-17.298,vibrant-sweep-1,3,sac,weak,True,250000,8
4013,-17.298,vibrant-sweep-1,3,sac,weak,True,250000,8
4017,-17.298,vibrant-sweep-1,3,sac,weak,True,250000,8
4033,-17.283,vibrant-sweep-1,3,sac,weak,True,250000,8
4055,-17.254,vibrant-sweep-1,3,sac,weak,True,250000,8
4102,-17.351,vibrant-sweep-1,3,sac,weak,True,250000,8
4132,-17.348,vibrant-sweep-1,3,sac,weak,True,250000,8
4149,-17.402,vibrant-sweep-1,3,sac,weak,True,250000,8
4163,-17.403,vibrant-sweep-1,3,sac,weak,True,250000,8
4164,-17.403,vibrant-sweep-1,3,sac,weak,True,250000,8
4176,-17.262,vibrant-sweep-1,3,sac,weak,True,250000,8
4214,-17.262,vibrant-sweep-1,3,sac,weak,True,250000,8
4282,-17.23,vibrant-sweep-1,3,sac,weak,True,250000,8
4338,-17.281,vibrant-sweep-1,3,sac,weak,True,250000,8
4370,-17.298,vibrant-sweep-1,3,sac,weak,True,250000,8
4403,-17.28,vibrant-sweep-1,3,sac,weak,True,250000,8
4421,-17.28,vibrant-sweep-1,3,sac,weak,True,250000,8
4425,-17.331,vibrant-sweep-1,3,sac,weak,True,250000,8
4426,-17.331,vibrant-sweep-1,3,sac,weak,True,250000,8
4454,-17.38,vibrant-sweep-1,3,sac,weak,True,250000,8
4482,-17.277,vibrant-sweep-1,3,sac,weak,True,250000,8
4488,-17.277,vibrant-sweep-1,3,sac,weak,True,250000,8
4490,-17.277,vibrant-sweep-1,3,sac,weak,True,250000,8
4528,-17.24,vibrant-sweep-1,3,sac,weak,True,250000,8
4580,-17.24,vibrant-sweep-1,3,sac,weak,True,250000,8
