_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,num-parallel-envs
2329,-16.536,northern-sweep-1,0,sac,strong,True,250000,8
2353,-16.262,northern-sweep-1,0,sac,strong,True,250000,8
2379,-16.248,northern-sweep-1,0,sac,strong,True,250000,8
2420,-16.248,northern-sweep-1,0,sac,strong,True,250000,8
2423,-16.248,northern-sweep-1,0,sac,strong,True,250000,8
2429,-16.209,northern-sweep-1,0,sac,strong,True,250000,8
2460,-16.209,northern-sweep-1,0,sac,strong,True,250000,8
2534,-16.246,northern-sweep-1,0,sac,strong,True,250000,8
2543,-16.203,northern-sweep-1,0,sac,strong,True,250000,8
2550,-16.165,northern-sweep-1,0,sac,strong,True,250000,8
2564,-15.923,northern-sweep-1,0,sac,strong,True,250000,8
2591,-15.923,northern-sweep-1,0,sac,strong,True,250000,8
2625,-16.335,northern-sweep-1,0,sac,strong,True,250000,8
2663,-16.295,northern-sweep-1,0,sac,strong,True,250000,8
2673,-16.295,northern-sweep-1,0,sac,strong,True,250000,8
2708,-16.303,northern-sweep-1,0,sac,strong,True,250000,8
2733,-16.232,northern-sweep-1,0,sac,strong,True,250000,8
2753,-16.195,northern-sweep-1,0,sac,strong,True,250000,8
2816,-16.278,northern-sweep-1,0,sac,strong,True,250000,8
2822,-16.278,northern-sweep-1,0,sac,strong,True,250000,8
2875,-16.278,northern-sweep-1,0,sac,strong,True,250000,8
2912,-16.347,northern-sweep-1,0,sac,strong,True,250000,8
2959,-16.609,northern-sweep-1,0,sac,strong,True,250000,8
2976,-16.658,northern-sweep-1,0,sac,strong,True,250000,8
3004,-16.671,northern-sweep-1,0,sac,strong,True,250000,8
3030,-16.625,northern-sweep-1,0,sac,strong,True,250000,8
3069,-16.19,northern-sweep-1,0,sac,strong,True,250000,8
3074,-16.157,northern-sweep-1,0,sac,strong,True,250000,8
3092,-16.131,northern-sweep-1,0,sac,strong,True,250000,8
3097,-16.131,northern-sweep-1,0,sac,strong,True,250000,8
3118,-16.099,northern-sweep-1,0,sac,strong,True,250000,8
3125,-16.099,northern-sweep-1,0,sac,strong,True,250000,8
3164,-15.978,northern-sweep-1,0,sac,strong,True,250000,8
3168,-15.978,northern-sweep-1,0,sac,strong,True,250000,8
3216,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
3274,-16.071,northern-sweep-1,0,sac,strong,True,250000,8
3275,-16.071,northern-sweep-1,0,sac,strong,True,250000,8
3307,-16.04,northern-sweep-1,0,sac,strong,True,250000,8
3317,-16.207,northern-sweep-1,0,sac,strong,True,250000,8
3336,-16.22,northern-sweep-1,0,sac,strong,True,250000,8
3342,-16.188,northern-sweep-1,0,sac,strong,True,250000,8
3373,-16.192,northern-sweep-1,0,sac,strong,True,250000,8
3418,-16.161,northern-sweep-1,0,sac,strong,True,250000,8
3445,-16.238,northern-sweep-1,0,sac,strong,True,250000,8
3495,-16.179,northern-sweep-1,0,sac,strong,True,250000,8
3507,-16.134,northern-sweep-1,0,sac,strong,True,250000,8
3529,-16.134,northern-sweep-1,0,sac,strong,True,250000,8
3564,-16.156,northern-sweep-1,0,sac,strong,True,250000,8
3596,-16.197,northern-sweep-1,0,sac,strong,True,250000,8
3603,-16.15,northern-sweep-1,0,sac,strong,True,250000,8
3609,-16.213,northern-sweep-1,0,sac,strong,True,250000,8
3611,-16.213,northern-sweep-1,0,sac,strong,True,250000,8
3657,-16.274,northern-sweep-1,0,sac,strong,True,250000,8
3674,-16.274,northern-sweep-1,0,sac,strong,True,250000,8
3741,-16.173,northern-sweep-1,0,sac,strong,True,250000,8
3750,-16.308,northern-sweep-1,0,sac,strong,True,250000,8
3759,-16.308,northern-sweep-1,0,sac,strong,True,250000,8
3795,-16.28,northern-sweep-1,0,sac,strong,True,250000,8
3804,-16.28,northern-sweep-1,0,sac,strong,True,250000,8
3819,-16.258,northern-sweep-1,0,sac,strong,True,250000,8
3837,-16.258,northern-sweep-1,0,sac,strong,True,250000,8
3858,-16.207,northern-sweep-1,0,sac,strong,True,250000,8
3872,-16.207,northern-sweep-1,0,sac,strong,True,250000,8
3879,-16.085,northern-sweep-1,0,sac,strong,True,250000,8
3888,-16.18,northern-sweep-1,0,sac,strong,True,250000,8
3893,-16.18,northern-sweep-1,0,sac,strong,True,250000,8
3922,-16.168,northern-sweep-1,0,sac,strong,True,250000,8
3994,-16.128,northern-sweep-1,0,sac,strong,True,250000,8
4010,-16.153,northern-sweep-1,0,sac,strong,True,250000,8
4013,-16.153,northern-sweep-1,0,sac,strong,True,250000,8
4017,-16.153,northern-sweep-1,0,sac,strong,True,250000,8
4033,-16.234,northern-sweep-1,0,sac,strong,True,250000,8
4055,-16.234,northern-sweep-1,0,sac,strong,True,250000,8
4102,-16.144,northern-sweep-1,0,sac,strong,True,250000,8
4132,-16.188,northern-sweep-1,0,sac,strong,True,250000,8
4149,-16.084,northern-sweep-1,0,sac,strong,True,250000,8
4163,-16.084,northern-sweep-1,0,sac,strong,True,250000,8
4164,-16.084,northern-sweep-1,0,sac,strong,True,250000,8
4176,-16.104,northern-sweep-1,0,sac,strong,True,250000,8
4214,-16.104,northern-sweep-1,0,sac,strong,True,250000,8
4282,-15.979,northern-sweep-1,0,sac,strong,True,250000,8
4338,-16.004,northern-sweep-1,0,sac,strong,True,250000,8
4370,-15.929,northern-sweep-1,0,sac,strong,True,250000,8
4403,-15.907,northern-sweep-1,0,sac,strong,True,250000,8
4421,-15.907,northern-sweep-1,0,sac,strong,True,250000,8
4425,-15.889,northern-sweep-1,0,sac,strong,True,250000,8
4426,-15.889,northern-sweep-1,0,sac,strong,True,250000,8
4454,-15.9,northern-sweep-1,0,sac,strong,True,250000,8
4482,-15.834,northern-sweep-1,0,sac,strong,True,250000,8
4488,-15.834,northern-sweep-1,0,sac,strong,True,250000,8
4490,-15.834,northern-sweep-1,0,sac,strong,True,250000,8
4528,-15.893,northern-sweep-1,0,sac,strong,True,250000,8
4580,-15.842,northern-sweep-1,0,sac,strong,True,250000,8
4610,-15.9,northern-sweep-1,0,sac,strong,True,250000,8
4632,-15.924,northern-sweep-1,0,sac,strong,True,250000,8
4649,-15.966,northern-sweep-1,0,sac,strong,True,250000,8
4652,-15.966,northern-sweep-1,0,sac,strong,True,250000,8
4667,-15.966,northern-sweep-1,0,sac,strong,True,250000,8
4673,-15.84,northern-sweep-1,0,sac,strong,True,250000,8
4736,-15.903,northern-sweep-1,0,sac,strong,True,250000,8
4891,-16.129,northern-sweep-1,0,sac,strong,True,250000,8
4936,-16.258,northern-sweep-1,0,sac,strong,True,250000,8
5005,-16.18,northern-sweep-1,0,sac,strong,True,250000,8
5036,-16.085,northern-sweep-1,0,sac,strong,True,250000,8
5039,-16.085,northern-sweep-1,0,sac,strong,True,250000,8
5042,-16.085,northern-sweep-1,0,sac,strong,True,250000,8
5077,-16.118,northern-sweep-1,0,sac,strong,True,250000,8
5141,-15.98,northern-sweep-1,0,sac,strong,True,250000,8
5165,-15.889,northern-sweep-1,0,sac,strong,True,250000,8
5169,-15.808,northern-sweep-1,0,sac,strong,True,250000,8
5219,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5249,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5267,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5295,-15.596,northern-sweep-1,0,sac,strong,True,250000,8
5314,-15.581,northern-sweep-1,0,sac,strong,True,250000,8
5328,-15.642,northern-sweep-1,0,sac,strong,True,250000,8
5337,-15.642,northern-sweep-1,0,sac,strong,True,250000,8
5347,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5349,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5361,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5370,-15.695,northern-sweep-1,0,sac,strong,True,250000,8
5389,-15.695,northern-sweep-1,0,sac,strong,True,250000,8
5391,-15.621,northern-sweep-1,0,sac,strong,True,250000,8
5397,-15.621,northern-sweep-1,0,sac,strong,True,250000,8
5420,-15.621,northern-sweep-1,0,sac,strong,True,250000,8
5439,-15.712,northern-sweep-1,0,sac,strong,True,250000,8
5484,-15.804,northern-sweep-1,0,sac,strong,True,250000,8
5571,-15.759,northern-sweep-1,0,sac,strong,True,250000,8
5582,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5594,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5597,-15.75,northern-sweep-1,0,sac,strong,True,250000,8
5605,-15.753,northern-sweep-1,0,sac,strong,True,250000,8
5662,-15.826,northern-sweep-1,0,sac,strong,True,250000,8
5715,-15.835,northern-sweep-1,0,sac,strong,True,250000,8
5742,-15.942,northern-sweep-1,0,sac,strong,True,250000,8
5770,-15.918,northern-sweep-1,0,sac,strong,True,250000,8
5774,-15.904,northern-sweep-1,0,sac,strong,True,250000,8
5825,-15.995,northern-sweep-1,0,sac,strong,True,250000,8
5848,-15.995,northern-sweep-1,0,sac,strong,True,250000,8
5938,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
5948,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
5957,-15.962,northern-sweep-1,0,sac,strong,True,250000,8
5973,-16.043,northern-sweep-1,0,sac,strong,True,250000,8
6008,-16.056,northern-sweep-1,0,sac,strong,True,250000,8
6024,-16.124,northern-sweep-1,0,sac,strong,True,250000,8
6088,-16.157,northern-sweep-1,0,sac,strong,True,250000,8
6090,-16.157,northern-sweep-1,0,sac,strong,True,250000,8
6126,-16.157,northern-sweep-1,0,sac,strong,True,250000,8
6197,-16.206,northern-sweep-1,0,sac,strong,True,250000,8
6222,-16.175,northern-sweep-1,0,sac,strong,True,250000,8
6233,-16.175,northern-sweep-1,0,sac,strong,True,250000,8
6244,-16.094,northern-sweep-1,0,sac,strong,True,250000,8
6298,-16.035,northern-sweep-1,0,sac,strong,True,250000,8
6313,-16.021,northern-sweep-1,0,sac,strong,True,250000,8
6319,-16.096,northern-sweep-1,0,sac,strong,True,250000,8
6323,-16.096,northern-sweep-1,0,sac,strong,True,250000,8
6335,-16.096,northern-sweep-1,0,sac,strong,True,250000,8
6358,-16.056,northern-sweep-1,0,sac,strong,True,250000,8
6371,-16.056,northern-sweep-1,0,sac,strong,True,250000,8
6441,-16.058,northern-sweep-1,0,sac,strong,True,250000,8
6443,-16.058,northern-sweep-1,0,sac,strong,True,250000,8
6448,-16.094,northern-sweep-1,0,sac,strong,True,250000,8
6456,-16.07,northern-sweep-1,0,sac,strong,True,250000,8
6485,-16.043,northern-sweep-1,0,sac,strong,True,250000,8
6496,-16.014,northern-sweep-1,0,sac,strong,True,250000,8
