_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,quantile_critic,num-parallel-envs
2188,-17.239,generous-sweep-1,12,sac,strong,True,250000,True,8
2190,-17.239,generous-sweep-1,12,sac,strong,True,250000,True,8
2264,-17.366,generous-sweep-1,12,sac,strong,True,250000,True,8
2284,-17.253,generous-sweep-1,12,sac,strong,True,250000,True,8
2296,-17.253,generous-sweep-1,12,sac,strong,True,250000,True,8
2303,-17.382,generous-sweep-1,12,sac,strong,True,250000,True,8
2329,-17.307,generous-sweep-1,12,sac,strong,True,250000,True,8
2353,-17.36,generous-sweep-1,12,sac,strong,True,250000,True,8
2379,-17.307,generous-sweep-1,12,sac,strong,True,250000,True,8
2420,-17.109,generous-sweep-1,12,sac,strong,True,250000,True,8
2423,-17.109,generous-sweep-1,12,sac,strong,True,250000,True,8
2429,-17.079,generous-sweep-1,12,sac,strong,True,250000,True,8
2460,-16.98,generous-sweep-1,12,sac,strong,True,250000,True,8
2534,-17.065,generous-sweep-1,12,sac,strong,True,250000,True,8
2543,-17.065,generous-sweep-1,12,sac,strong,True,250000,True,8
2550,-17.065,generous-sweep-1,12,sac,strong,True,250000,True,8
2564,-17.059,generous-sweep-1,12,sac,strong,True,250000,True,8
2591,-17.03,generous-sweep-1,12,sac,strong,True,250000,True,8
2625,-17.03,generous-sweep-1,12,sac,strong,True,250000,True,8
2663,-17.03,generous-sweep-1,12,sac,strong,True,250000,True,8
2673,-17.03,generous-sweep-1,12,sac,strong,True,250000,True,8
2708,-17.131,generous-sweep-1,12,sac,strong,True,250000,True,8
2733,-17.238,generous-sweep-1,12,sac,strong,True,250000,True,8
2753,-17.238,generous-sweep-1,12,sac,strong,True,250000,True,8
2816,-17.214,generous-sweep-1,12,sac,strong,True,250000,True,8
2822,-17.153,generous-sweep-1,12,sac,strong,True,250000,True,8
2875,-16.982,generous-sweep-1,12,sac,strong,True,250000,True,8
2912,-16.987,generous-sweep-1,12,sac,strong,True,250000,True,8
2959,-17.106,generous-sweep-1,12,sac,strong,True,250000,True,8
2976,-17.068,generous-sweep-1,12,sac,strong,True,250000,True,8
3004,-17.068,generous-sweep-1,12,sac,strong,True,250000,True,8
3030,-17.221,generous-sweep-1,12,sac,strong,True,250000,True,8
3069,-17.298,generous-sweep-1,12,sac,strong,True,250000,True,8
3074,-17.439,generous-sweep-1,12,sac,strong,True,250000,True,8
3092,-17.439,generous-sweep-1,12,sac,strong,True,250000,True,8
3097,-17.5,generous-sweep-1,12,sac,strong,True,250000,True,8
3118,-17.458,generous-sweep-1,12,sac,strong,True,250000,True,8
3125,-17.487,generous-sweep-1,12,sac,strong,True,250000,True,8
3164,-17.43,generous-sweep-1,12,sac,strong,True,250000,True,8
3168,-17.43,generous-sweep-1,12,sac,strong,True,250000,True,8
3216,-17.357,generous-sweep-1,12,sac,strong,True,250000,True,8
3274,-17.12,generous-sweep-1,12,sac,strong,True,250000,True,8
3275,-17.12,generous-sweep-1,12,sac,strong,True,250000,True,8
3307,-17.158,generous-sweep-1,12,sac,strong,True,250000,True,8
3317,-17.158,generous-sweep-1,12,sac,strong,True,250000,True,8
3336,-17.158,generous-sweep-1,12,sac,strong,True,250000,True,8
3342,-17.158,generous-sweep-1,12,sac,strong,True,250000,True,8
3373,-17.141,generous-sweep-1,12,sac,strong,True,250000,True,8
3418,-17.152,generous-sweep-1,12,sac,strong,True,250000,True,8
3445,-17.282,generous-sweep-1,12,sac,strong,True,250000,True,8
3495,-17.21,generous-sweep-1,12,sac,strong,True,250000,True,8
3507,-17.21,generous-sweep-1,12,sac,strong,True,250000,True,8
3529,-17.323,generous-sweep-1,12,sac,strong,True,250000,True,8
3564,-17.208,generous-sweep-1,12,sac,strong,True,250000,True,8
3596,-17.208,generous-sweep-1,12,sac,strong,True,250000,True,8
3603,-17.265,generous-sweep-1,12,sac,strong,True,250000,True,8
3609,-17.265,generous-sweep-1,12,sac,strong,True,250000,True,8
3611,-17.265,generous-sweep-1,12,sac,strong,True,250000,True,8
3657,-17.23,generous-sweep-1,12,sac,strong,True,250000,True,8
3674,-17.283,generous-sweep-1,12,sac,strong,True,250000,True,8
3741,-17.37,generous-sweep-1,12,sac,strong,True,250000,True,8
3750,-17.37,generous-sweep-1,12,sac,strong,True,250000,True,8
3759,-17.37,generous-sweep-1,12,sac,strong,True,250000,True,8
3795,-17.261,generous-sweep-1,12,sac,strong,True,250000,True,8
3804,-17.418,generous-sweep-1,12,sac,strong,True,250000,True,8
3819,-17.418,generous-sweep-1,12,sac,strong,True,250000,True,8
3837,-17.384,generous-sweep-1,12,sac,strong,True,250000,True,8
3858,-17.352,generous-sweep-1,12,sac,strong,True,250000,True,8
3872,-17.345,generous-sweep-1,12,sac,strong,True,250000,True,8
3879,-17.345,generous-sweep-1,12,sac,strong,True,250000,True,8
3888,-17.412,generous-sweep-1,12,sac,strong,True,250000,True,8
3893,-17.412,generous-sweep-1,12,sac,strong,True,250000,True,8
3922,-17.412,generous-sweep-1,12,sac,strong,True,250000,True,8
3994,-17.478,generous-sweep-1,12,sac,strong,True,250000,True,8
4010,-17.445,generous-sweep-1,12,sac,strong,True,250000,True,8
4013,-17.445,generous-sweep-1,12,sac,strong,True,250000,True,8
4017,-17.45,generous-sweep-1,12,sac,strong,True,250000,True,8
4033,-17.45,generous-sweep-1,12,sac,strong,True,250000,True,8
4055,-17.437,generous-sweep-1,12,sac,strong,True,250000,True,8
4102,-17.315,generous-sweep-1,12,sac,strong,True,250000,True,8
4132,-17.285,generous-sweep-1,12,sac,strong,True,250000,True,8
4149,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
4163,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
4164,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
4176,-17.213,generous-sweep-1,12,sac,strong,True,250000,True,8
4214,-17.098,generous-sweep-1,12,sac,strong,True,250000,True,8
4282,-17.194,generous-sweep-1,12,sac,strong,True,250000,True,8
4338,-17.226,generous-sweep-1,12,sac,strong,True,250000,True,8
4370,-17.317,generous-sweep-1,12,sac,strong,True,250000,True,8
4403,-17.27,generous-sweep-1,12,sac,strong,True,250000,True,8
4421,-17.27,generous-sweep-1,12,sac,strong,True,250000,True,8
4425,-17.27,generous-sweep-1,12,sac,strong,True,250000,True,8
4426,-17.27,generous-sweep-1,12,sac,strong,True,250000,True,8
4454,-17.269,generous-sweep-1,12,sac,strong,True,250000,True,8
4482,-17.269,generous-sweep-1,12,sac,strong,True,250000,True,8
4488,-17.269,generous-sweep-1,12,sac,strong,True,250000,True,8
4490,-17.171,generous-sweep-1,12,sac,strong,True,250000,True,8
4528,-17.136,generous-sweep-1,12,sac,strong,True,250000,True,8
4580,-16.98,generous-sweep-1,12,sac,strong,True,250000,True,8
4610,-16.965,generous-sweep-1,12,sac,strong,True,250000,True,8
4632,-16.939,generous-sweep-1,12,sac,strong,True,250000,True,8
4649,-17.007,generous-sweep-1,12,sac,strong,True,250000,True,8
4652,-17.007,generous-sweep-1,12,sac,strong,True,250000,True,8
4667,-17.007,generous-sweep-1,12,sac,strong,True,250000,True,8
4673,-17.007,generous-sweep-1,12,sac,strong,True,250000,True,8
4736,-17.007,generous-sweep-1,12,sac,strong,True,250000,True,8
4891,-16.993,generous-sweep-1,12,sac,strong,True,250000,True,8
4936,-16.989,generous-sweep-1,12,sac,strong,True,250000,True,8
5005,-16.927,generous-sweep-1,12,sac,strong,True,250000,True,8
5036,-16.956,generous-sweep-1,12,sac,strong,True,250000,True,8
5039,-16.956,generous-sweep-1,12,sac,strong,True,250000,True,8
5042,-16.956,generous-sweep-1,12,sac,strong,True,250000,True,8
5077,-17.014,generous-sweep-1,12,sac,strong,True,250000,True,8
5141,-16.893,generous-sweep-1,12,sac,strong,True,250000,True,8
5165,-16.893,generous-sweep-1,12,sac,strong,True,250000,True,8
5169,-16.893,generous-sweep-1,12,sac,strong,True,250000,True,8
5219,-16.796,generous-sweep-1,12,sac,strong,True,250000,True,8
5249,-16.835,generous-sweep-1,12,sac,strong,True,250000,True,8
5267,-16.929,generous-sweep-1,12,sac,strong,True,250000,True,8
5295,-16.886,generous-sweep-1,12,sac,strong,True,250000,True,8
5314,-16.809,generous-sweep-1,12,sac,strong,True,250000,True,8
5328,-16.899,generous-sweep-1,12,sac,strong,True,250000,True,8
5337,-16.984,generous-sweep-1,12,sac,strong,True,250000,True,8
5347,-16.984,generous-sweep-1,12,sac,strong,True,250000,True,8
